Model,Sampler,Best Params,Accuracy,ROC AUC,Precision_Yes (1),Recall_Yes (1),F1_Yes (1),Precision_No (0),Recall_No (0),F1_No (0),F1_Macro
XGBoost,Undersampling,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 200}",0.736591850299095,0.8559178056836949,0.2572396796056685,0.835,0.39331135186057464,0.974745542205556,0.7253829944757674,0.8317769215699079,0.6125441367152413
XGBoost,SMOTE Oversampling,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 200}",0.8582749629326653,0.849302693775272,0.36408450704225354,0.517,0.42727272727272725,0.9422214247263593,0.8971467623440971,0.9191318046560476,0.6732022659643875
