Model,Sampler,Best Params,Accuracy,ROC AUC,Precision_Yes (1),Recall_Yes (1),F1_Yes (1),Precision_No (0),Recall_No (0),F1_No (0),F1_Macro
Logistic Regression,Undersampling,{'model__C': 0.1},0.752054863597398,0.8525155746668228,0.25779455201837875,0.7994910941475827,0.3898746742772056,0.9713183373371187,0.7468375685659913,0.8444135050469892,0.6171440896620974
Logistic Regression,SMOTE Oversampling,{'model__C': 0.1},0.7571478997529121,0.8483802944680914,0.2598146588037068,0.7847328244274809,0.390379746835443,0.969559585492228,0.7541139594760998,0.8483722687488193,0.6193760077921312
Decision Tree,Undersampling,{'model__max_depth': 3},0.6947708133730018,0.8159140608243045,0.2209175314036046,0.823409669211196,0.34836903864786306,0.9722555368993364,0.6806224112840031,0.8007111579363251,0.5745400982920941
Decision Tree,SMOTE Oversampling,{'model__max_depth': 10},0.7931017094448086,0.8316357081798371,0.27803156146179403,0.6814249363867685,0.3949270019171214,0.9583083583083583,0.8053845292734804,0.8752166904899487,0.635071846203535
Random Forest,Undersampling,"{'model__max_depth': None, 'model__n_estimators': 100}",0.7305229186626998,0.8345027970452356,0.24154811075416857,0.8035623409669211,0.3714420136438485,0.9709643448172107,0.7224896451360125,0.8284980744544288,0.5999700440491387
Random Forest,SMOTE Oversampling,"{'model__max_depth': 10, 'model__n_estimators': 100}",0.8072714436992587,0.8473330866567027,0.2955296190266461,0.6829516539440204,0.41254226867506916,0.9592544146500981,0.8209448113735587,0.8847267462902642,0.6486345074826667
