Model,Sampler,Best Params,Accuracy,ROC AUC,Precision_Yes (1),Recall_Yes (1),F1_Yes (1),Precision_No (0),Recall_No (0),F1_No (0),F1_Macro
XGBoost,Undersampling,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 50}",0.7110215714215518,0.8103201571979055,0.4990917833101827,0.7965552523874488,0.613676673454641,0.8914665211062591,0.6763995306136537,0.7691824639899525,0.6914295687222968
XGBoost,SMOTE Oversampling,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50}",0.741683455358459,0.8065396178688122,0.5415468856947296,0.67462482946794,0.600804920646974,0.8537482753334356,0.76882722440809,0.8090654850542984,0.7049352028506362
