,precision,recall,f1-score,support
0,0.9595992243051067,0.4098847242355215,0.5744135429262395,14487.0
1,0.396384946692085,0.9573669849931787,0.5606431317721077,5864.0
accuracy,0.5676379539088988,0.5676379539088988,0.5676379539088988,0.5676379539088988
macro avg,0.6779920854985959,0.6836258546143501,0.5675283373491735,20351.0
weighted avg,0.7973129227021015,0.5676379539088988,0.5704456941223562,20351.0
