,precision,recall,f1-score,support
0,0.9914388860237235,0.5380051494458749,0.6975073473386306,17866.0
1,0.1856748224151539,0.9577608142493639,0.3110486736633336,1965.0
accuracy,0.5795975997176138,0.5795975997176138,0.5795975997176138,0.5795975997176138
macro avg,0.5885568542194387,0.7478829818476194,0.5042780105009821,19831.0
weighted avg,0.9115979105312703,0.5795975997176138,0.6592142056023612,19831.0
