,precision,recall,f1-score,support
0,0.9903616955124883,0.544222336123925,0.702440458688621,17559.0
1,0.1924318869828456,0.9535,0.3202350965575147,2000.0
accuracy,0.5860729076128637,0.5860729076128637,0.5860729076128637,0.5860729076128637
macro avg,0.591396791247667,0.7488611680619626,0.5113377776230679,19559.0
weighted avg,0.9087696091553491,0.5860729076128637,0.6633581577395842,19559.0
