,precision,recall,f1-score,support
0,0.9543343653250774,0.8281652300458973,0.8867845370092898,17866.0
1,0.2905015021955165,0.6396946564885496,0.3995549904640814,1965.0
accuracy,0.8094901921234431,0.8094901921234431,0.8094901921234431,0.8094901921234431
macro avg,0.622417933760297,0.7339299432672235,0.6431697637366856,19831.0
weighted avg,0.8885569675110696,0.8094901921234431,0.8385062828132668,19831.0
