,precision,recall,f1-score,support
0,0.9716994894237783,0.7456621515728199,0.8438054218393717,17866.0
1,0.2576376409083483,0.8025445292620865,0.3900568884491714,1965.0
accuracy,0.7512984720891533,0.7512984720891533,0.7512984720891533,0.7512984720891533
macro avg,0.6146685651660633,0.7741033404174532,0.6169311551442715,19831.0
weighted avg,0.9009450376899868,0.7512984720891533,0.7988447104223103,19831.0
