,precision,recall,f1-score,support
0,0.887891978324598,0.6899289017740042,0.776491609695463,14487.0
1,0.5060479436991423,0.7847885402455662,0.6153229041315684,5864.0
accuracy,0.7172620510048646,0.7172620510048646,0.7172620510048646,0.7172620510048646
macro avg,0.6969699610118701,0.7373587210097852,0.6959072569135157,20351.0
weighted avg,0.7778662587509322,0.7172620510048646,0.7300519610577214,20351.0
