,precision,recall,f1-score,support
0,0.9721013949302535,0.7381969360441939,0.8391545010196485,17559.0
1,0.26152610441767066,0.814,0.39586626139817627,2000.0
accuracy,0.7459481568587351,0.7459481568587351,0.7459481568587351,0.7459481568587351
macro avg,0.6168137496739621,0.7760984680220969,0.6175103812089124,19559.0
weighted avg,0.8994417200478381,0.7459481568587351,0.7938261877499034,19559.0
