Model,Sampler,Best Params,Accuracy,ROC AUC,Precision_Yes (1),Recall_Yes (1),F1_Yes (1),Precision_No (0),Recall_No (0),F1_No (0),F1_Macro
Logistic Regression,Undersampling,{'model__C': 0.1},0.7174094639084074,0.8095832743586925,0.5062176735996479,0.7844474761255116,0.6153434552872717,0.8877840909090909,0.690274038793401,0.7766688672284572,0.6960061612578645
Logistic Regression,SMOTE Oversampling,{'model__C': 10},0.7192275563854356,0.8071327897495906,0.5083093286062487,0.7824010914051842,0.6162525184687709,0.8873289183222958,0.6936563815834886,0.7786300945296761,0.6974413064992235
Decision Tree,Undersampling,{'model__max_depth': 5},0.7116603606702373,0.7975348729646214,0.4997767857142857,0.7636425648021828,0.6041554236373449,0.8783249934158546,0.6906191758127976,0.7732436818919546,0.6886995527646498
Decision Tree,SMOTE Oversampling,{'model__max_depth': 5},0.7151491327207509,0.7906047464485966,0.5038822575037664,0.7414733969986358,0.600013799765404,0.87067053403856,0.7044936839925451,0.778816437101759,0.6894151184335815
Random Forest,Undersampling,"{'model__max_depth': 5, 'model__n_estimators': 50}",0.7110707090560661,0.8024489143062921,0.4991166077738516,0.7708049113233287,0.6058981233243967,0.8810092961487384,0.6868916960033133,0.7719339073772399,0.6889160153508183
Random Forest,SMOTE Oversampling,"{'model__max_depth': 10, 'model__n_estimators': 50}",0.7313645521104614,0.8068789162810597,0.5246982704989424,0.7191336971350614,0.6067189410833753,0.8662497969790482,0.7363153171809208,0.7960150740644005,0.7013670075738879
