Model,Sampler,Best Params,Accuracy,ROC AUC,Precision_Yes (1),Recall_Yes (1),F1_Yes (1),Precision_No (0),Recall_No (0),F1_No (0),F1_Macro
XGBoost,Undersampling,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 100}",0.739297060158338,0.8533568957939355,0.2510486251359329,0.8223918575063613,0.3846703165912878,0.973943556816485,0.7301578417105116,0.8346129238643634,0.6096416202278256
XGBoost,SMOTE Oversampling,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50}",0.8554787958247189,0.8484367936709498,0.34795815052311846,0.5246819338422392,0.4184253246753247,0.9446288830922457,0.8918616366282324,0.9174871883457132,0.6679562565105189
