,precision,recall,f1-score,support
0,0.8731261116286948,0.711603506592117,0.7841332623412185,14487.0
1,0.5110018726591761,0.7445429740791268,0.6060521932259856,5864.0
accuracy,0.721094786496978,0.721094786496978,0.721094786496978,0.721094786496978
macro avg,0.6920639921439354,0.7280732403356219,0.6950927277836021,20351.0
weighted avg,0.768782514885672,0.721094786496978,0.7328204330310262,20351.0
