Model,Sampler,Best Params,Accuracy,ROC AUC,Precision_Yes (1),Recall_Yes (1),F1_Yes (1),Precision_No (0),Recall_No (0),F1_No (0),F1_Macro
Logistic Regression,Undersampling,{'model__C': 1},0.7459481568587351,0.8562224927387665,0.26152610441767066,0.814,0.39586626139817627,0.9721013949302535,0.7381969360441939,0.8391545010196485,0.6175103812089124
Logistic Regression,SMOTE Oversampling,{'model__C': 10},0.7474308502479677,0.8531645737228771,0.26151849448410125,0.806,0.39490445859872614,0.9710339678984696,0.7407597243578792,0.8404083478710345,0.6176564032348804
Decision Tree,Undersampling,{'model__max_depth': 10},0.7266731427987115,0.8094652315052109,0.24434596577017115,0.7995,0.37429775280898875,0.9691893968497887,0.7183780397516943,0.8251455485052659,0.5997216506571273
Decision Tree,SMOTE Oversampling,{'model__max_depth': 10},0.8235594866813232,0.8332868472008657,0.31131339401820546,0.5985,0.4095808383233533,0.948899070892198,0.8491941454524745,0.8962822709103477,0.6529315546168505
Random Forest,Undersampling,"{'model__max_depth': None, 'model__n_estimators': 50}",0.7330640625798865,0.8385988097272055,0.2518107566651256,0.817,0.3849687831311108,0.9719969395562357,0.7235036163790649,0.8295406314277319,0.6072547072794214
Random Forest,SMOTE Oversampling,"{'model__max_depth': 10, 'model__n_estimators': 100}",0.8080167697735058,0.8518212455151205,0.3065049614112459,0.695,0.4254016832440704,0.9593982960596379,0.8208895722991059,0.8847558542798392,0.6550787687619548
