,precision,recall,f1-score,support
0,0.9806739748274462,0.6759767155490877,0.8003048275405056,17866.0
1,0.22977647684938798,0.878880407124682,0.36430756249340784,1965.0
accuracy,0.6960818919872926,0.6960818919872926,0.6960818919872926,0.6960818919872926
macro avg,0.6052252258384171,0.7774285613368848,0.5823061950169567,19831.0
weighted avg,0.9062695785021533,0.6960818919872926,0.757103041154668,19831.0
