,precision,recall,f1-score,support
0,0.9208492106695699,0.5838337820114585,0.7145995268671849,14487.0
1,0.4600573168547376,0.8760231923601637,0.6032883147386964,5864.0
accuracy,0.6680261412215616,0.6680261412215616,0.6680261412215616,0.6680261412215616
macro avg,0.6904532637621538,0.7299284871858112,0.6589439208029406,20351.0
weighted avg,0.7880752110955845,0.6680261412215616,0.6825259703873335,20351.0
