,precision,recall,f1-score,support
0,0.9817006631411064,0.6660402073010991,0.7936346362649295,17559.0
1,0.23306303949777663,0.891,0.36947957702674683,2000.0
accuracy,0.6890434071271537,0.6890434071271537,0.6890434071271537,0.6890434071271537
macro avg,0.6073818513194416,0.7785201036505496,0.5815571066458382,19559.0
weighted avg,0.9051489351751234,0.6890434071271537,0.750262780930998,19559.0
