,precision,recall,f1-score,support
0,0.9905523255813954,0.5433680733526967,0.7017763230480674,17559.0
1,0.1923038178704543,0.9545,0.3201140269975685,2000.0
accuracy,0.5854082519556214,0.5854082519556214,0.5854082519556214,0.5854082519556214
macro avg,0.5914280717259248,0.7489340366763484,0.510945175022818,19559.0
weighted avg,0.9089276507298241,0.5854082519556214,0.662749553167143,19559.0
