,precision,recall,f1-score,support
0,0.9916079569001244,0.5357102876973021,0.6956174140562541,17866.0
1,0.18508694370763337,0.9587786259541985,0.3102766798418972,1965.0
accuracy,0.5776309817961777,0.5776309817961777,0.5776309817961777,0.5776309817961777
macro avg,0.5883474503038789,0.7472444568257504,0.5029470469490757,19831.0
weighted avg,0.9116919773265657,0.5776309817961777,0.6574350459088479,19831.0
