Feature,Coefficient,Abs_Coefficient
Has respiratory chronic condition (asthma or COPD)_No,-0.04158278946115485,0.04158278946115485
Considered suicide - last 12 months_Yes,-0.04097106823452256,0.04097106823452256
Severity of Canabis Dependence_No cannabis use,-0.03603857896138054,0.03603857896138054
Satisfaction with life in general _Dissatisfied,0.03563283175058742,0.03563283175058742
Total Household Income - All Sources_Unknown,0.03496785822683231,0.03496785822683231
"Has a mood disorder (depression, bipolar, mania, dysthymia)_No",-0.033295355722904915,0.033295355722904915
Perceived mental health _Good,-0.03268023572947175,0.03268023572947175
"Total Household Income - All Sources_No income or less than $20,000",0.0314530553935875,0.0314530553935875
"Marital Status_Widowed/Divorced/Separated/Single, never married",0.030800210759032325,0.030800210759032325
Drank 5+ / 4+ drinks one occasion - frequency - 12 months_Once a week,-0.028621969136896987,0.028621969136896987
Seasonal flu shot - last time_2 years ago or more,-0.01882356983628659,0.01882356983628659
Smoking status_Non-smoker (abstainer or experimental),0.01286986693282325,0.01286986693282325
Usual place for immediate care for minor problem_Yes,-0.008104861396243569,0.008104861396243569
Satisfaction with life in general _Very Satisfied,0.007716920912670193,0.007716920912670193
Seasonal flu shot - last time_Less than 1 year ago,0.006072752112154886,0.006072752112154886
"Has an anxiety disorder (phobia, OCD, panic)_No",0.005849943190188144,0.005849943190188144
Perceived health _Good,0.003904128410458142,0.003904128410458142
Satisfaction with life in general _Satisfied,0.0020465069700569168,0.0020465069700569168
